Periodo,Precio
2010/Enero,3.8
2010/Febrero,3.8
2010/Marzo,3.87
2010/Abril,3.8
2010/Mayo,3.82
2010/Junio,3.66
2010/Julio,3.8
2010/Agosto,3.85
2010/Septiembre,3.86
2010/Octubre,3.75
2010/Noviembre,3.73
2010/Diciembre,3.98
2011/Enero,4.02
2011/Febrero,4.45
2011/Marzo,5.5
2011/Abril,5.5
2011/Mayo,5.5
2011/Junio,5.66
2011/Julio,5.95
2011/Agosto,5.96
2011/Septiembre,5.93
2011/Octubre,6.22
2011/Noviembre,6.52
2011/Diciembre,6.3
2012/Enero,6.3
2012/Febrero,6.46
2012/Marzo,6.48
2012/Abril,6.4
2012/Mayo,6.22
2012/Junio,6
2012/Julio,5.85
2012/Agosto,5.86
2012/Septiembre,6.05
2012/Octubre,6.04
2012/Noviembre,5.85
2012/Diciembre,5.8
2013/Enero,5.64
2013/Febrero,5.6
2013/Marzo,5.6
2013/Abril,5.58
2013/Mayo,5.42
2013/Junio,5.2
2013/Julio,5.34
2013/Agosto,5.4
2013/Septiembre,5.2
2013/Octubre,5.24
2013/Noviembre,5.15
2013/Diciembre,5
2014/Enero,5.05
2014/Febrero,5
2014/Marzo,5
2014/Abril,5
2014/Mayo,5
2014/Junio,15.5
2014/Julio,15.5
2014/Agosto,15.5
2014/Septiembre,15.5
2014/Octubre,15.5
2014/Noviembre,15.5
2014/Diciembre,15.5
2015/Enero,5
2015/Febrero,5.05
2015/Marzo,5.2
2015/Abril,5.2
2015/Mayo,5.2
2015/Junio,5.2
2015/Julio,15.5
2015/Agosto,15.5
2015/Septiembre,15.5
2015/Octubre,15.5
2015/Noviembre,15.5
2015/Diciembre,15.5
2016/Enero,5.2
2016/Febrero,5.28
2016/Marzo,5.36
2016/Abril,5.52
2016/Mayo,5.68
2016/Junio,5.66
2016/Julio,5.7
2016/Agosto,5.84
2016/Septiembre,6.08
2016/Octubre,6.4
2016/Noviembre,6.06
2016/Diciembre,6
2017/Enero,5.75
2017/Febrero,5.52
2017/Marzo,6
2017/Abril,6
2017/Mayo,6
2017/Junio,6
2017/Julio,6
2017/Agosto,5.94
2017/Septiembre,5.9
2017/Octubre,5.9
2017/Noviembre,5.9
2017/Diciembre,5.9
2018/Enero,5.78
2018/Febrero,5.95
2018/Marzo,6
2018/Abril,6.25
2018/Mayo,6.18
2018/Junio,6
2018/Julio,6
2018/Agosto,6.06
2018/Septiembre,6.32
2018/Octubre,6.3
2018/Noviembre,6.3
2018/Diciembre,6.28
2019/Enero,6.38
2019/Febrero,6.58
2019/Marzo,6.7
2019/Abril,6.7
2019/Mayo,6.7
2019/Junio,6.7
2019/Julio,6.58
2019/Agosto,6.52
2019/Septiembre,6.7
2019/Octubre,6.64
2019/Noviembre,6.5
2019/Diciembre,6.48
2020/Enero,6.22
2020/Febrero,6
2020/Marzo,6.12
2020/Abril,6.3
2020/Mayo,6.3
2020/Junio,6.3
2020/Julio,7.3
2020/Agosto,7.04
2020/Septiembre,7
2020/Octubre,6.85
2020/Noviembre,7
2020/Diciembre,15.5
2021/Enero,7.65
2021/Febrero,8.38
2021/Marzo,8.45
2021/Abril,8.88
2021/Mayo,9.16
2021/Junio,9.2
2021/Julio,9.2
2021/Agosto,9.16
2021/Septiembre,8.9
2021/Octubre,9
2021/Noviembre,8.78
2021/Diciembre,15.5
2022/Enero,8.52
2022/Febrero,8.5
2022/Marzo,9.1
2022/Abril,10
2022/Mayo,10.25
2022/Junio,10.6
2022/Julio,10.5
2022/Agosto,10.46
2022/Septiembre,10.58
2022/Octubre,11.32
2022/Noviembre,12.3
2022/Diciembre,12.5
2023/Enero,13.25
2023/Febrero,12.5
2023/Marzo,12.38
2023/Abril,12.45
2023/Mayo,12.5
2023/Junio,12.5
2023/Julio,8.88
2023/Agosto,8.8
2023/Septiembre,8.5
2023/Octubre,8.5
2023/Noviembre,8.28
2023/Diciembre,8.25
2024/Enero,8.18
2024/Febrero,8.12
2024/Marzo,9
2024/Abril,9.2
2024/Mayo,9
2024/Junio,9
2024/Julio,9
2024/Agosto,9.12
2024/Septiembre,10
2024/Octubre,10
2024/Noviembre,9.75
2024/Diciembre,9.1
2025/Enero,9.42
2025/Febrero,10.25
2025/Marzo,10.75
2025/Abril,10.44
2025/Mayo,10.9
2025/Junio,10.05
2025/Julio,10
2025/Agosto,9.75
2025/Septiembre,9.75
2025/Octubre,9.7
2025/Noviembre,9.5
2025/Diciembre,9.5
2026/Enero,9.5
2026/Febrero,9.5
2026/Marzo,9.5
